retention_volume_mL,molecular_weight_g/mol,peak,gene,replicate
7.41122818,1579371.875,0,pplu,1
7.413561344,1589735,0,pplu,1
7.415894508,1586384.25,0,pplu,1
7.418227673,1582342.875,0,pplu,1
7.420560837,1578325.375,0,pplu,1
7.422894001,1575213.5,0,pplu,1
7.425227165,1571697.125,0,pplu,1
7.427560329,1566944.625,0,pplu,1
7.429893494,1573903.75,0,pplu,1
7.432226658,1590138.625,0,pplu,1
7.434559822,1599974,0,pplu,1
7.436892986,1604855.5,0,pplu,1
7.439226151,1597117.125,0,pplu,1
7.441559315,1587378.375,0,pplu,1
7.443892479,1590821.875,0,pplu,1
7.446225643,1599781,0,pplu,1
7.448558807,1616353,0,pplu,1
7.450891972,1616691.75,0,pplu,1
7.453225136,1620907.375,0,pplu,1
7.4555583,1607241.125,0,pplu,1
7.457891464,1587283.875,0,pplu,1
7.460224628,1568242.625,0,pplu,1
7.462557793,1571232.125,0,pplu,1
7.464890957,1557762.125,0,pplu,1
7.467224121,1555390.75,0,pplu,1
7.469557285,1562485.75,0,pplu,1
7.47189045,1558901,0,pplu,1
7.474223614,1569592.375,0,pplu,1
7.476556778,1566606.625,0,pplu,1
7.478889942,1548424.75,0,pplu,1
7.481223106,1533109.25,0,pplu,1
7.483556271,1530850.25,0,pplu,1
7.485889435,1560172.25,0,pplu,1
7.488222599,1584304.5,0,pplu,1
7.490555763,1586224,0,pplu,1
7.492888927,1578267.375,0,pplu,1
7.495222092,1567871.625,0,pplu,1
7.497555256,1572993.125,0,pplu,1
7.49988842,1570257.125,0,pplu,1
7.502221584,1561860.75,0,pplu,1
7.504554749,1568957.25,0,pplu,1
7.506887913,1576610.5,0,pplu,1
7.509221077,1559803.625,0,pplu,1
7.511554241,1558984,0,pplu,1
7.513887405,1556627.875,0,pplu,1
7.51622057,1542112.375,0,pplu,1
7.518553734,1539772.125,0,pplu,1
7.520886898,1519486.25,0,pplu,1
7.523220062,1509006.875,0,pplu,1
7.525553226,1506550.125,0,pplu,1
7.527886391,1521984.25,0,pplu,1
7.530219555,1527741.5,0,pplu,1
7.532552719,1515691.5,0,pplu,1
7.534885883,1495158.625,0,pplu,1
7.537219048,1495605.625,0,pplu,1
7.539552212,1524903.875,0,pplu,1
7.541885376,1524560.5,0,pplu,1
7.54421854,1498096.75,0,pplu,1
7.546551704,1491286,0,pplu,1
7.548884869,1490503.125,0,pplu,1
7.551218033,1492749.5,0,pplu,1
7.553551197,1484274.5,0,pplu,1
7.555884361,1481299.375,0,pplu,1
7.558217525,1480548.625,0,pplu,1
7.56055069,1457797.5,0,pplu,1
7.562883854,1446005.625,0,pplu,1
7.565217018,1451882.25,0,pplu,1
7.567550182,1447128,0,pplu,1
7.569883347,1435657.875,0,pplu,1
7.572216511,1436790.875,0,pplu,1
7.574549675,1422484.625,0,pplu,1
7.576882839,1419450.375,0,pplu,1
7.579216003,1417013.875,0,pplu,1
7.581549168,1412045.375,0,pplu,1
7.583882332,1408487.625,0,pplu,1
7.586215496,1385939.75,0,pplu,1
7.58854866,1391361,0,pplu,1
7.590881824,1402598.5,0,pplu,1
7.593214989,1396482,0,pplu,1
7.595548153,1395991,0,pplu,1
7.597881317,1371235.25,0,pplu,1
7.600214481,1371588.125,0,pplu,1
7.602547646,1358044.875,0,pplu,1
7.60488081,1352556.625,0,pplu,1
7.607213974,1371007,0,pplu,1
7.609547138,1381493.75,0,pplu,1
7.611880302,1372705.875,0,pplu,1
7.614213467,1376360.875,0,pplu,1
7.616546631,1377281.25,0,pplu,1
7.618879795,1369999.125,0,pplu,1
7.621212959,1367774.875,0,pplu,1
7.623546124,1365158.5,0,pplu,1
7.625879288,1365307.25,0,pplu,1
7.628212452,1371516.25,0,pplu,1
7.630545616,1371004.375,0,pplu,1
7.63287878,1379492.25,0,pplu,1
7.635211945,1375228.875,0,pplu,1
7.637545109,1383397.25,0,pplu,1
7.639878273,1393715,0,pplu,1
7.642211437,1401288.25,0,pplu,1
7.644544601,1413232.25,0,pplu,1
7.646877766,1409161.25,0,pplu,1
7.64921093,1431675.375,0,pplu,1
7.651544094,1429113.375,0,pplu,1
7.653877258,1420554.25,0,pplu,1
7.656210423,1408168.625,0,pplu,1
7.658543587,1398366.125,0,pplu,1
7.660876751,1393948.75,0,pplu,1
7.663209915,1376169,0,pplu,1
7.665543079,1370558.5,0,pplu,1
7.667876244,1366340.375,0,pplu,1
7.670209408,1357935.5,0,pplu,1
7.672542572,1357918.75,0,pplu,1
7.674875736,1365364.875,0,pplu,1
7.6772089,1357189.25,0,pplu,1
7.679542065,1345912.875,0,pplu,1
7.681875229,1342705.125,0,pplu,1
7.684208393,1331878.375,0,pplu,1
7.686541557,1323932.75,0,pplu,1
7.688874722,1317965,0,pplu,1
7.691207886,1318365.75,0,pplu,1
7.69354105,1299445.25,0,pplu,1
7.695874214,1291651,0,pplu,1
7.698207378,1289208.625,0,pplu,1
7.700540543,1292060,0,pplu,1
7.702873707,1297683.75,0,pplu,1
7.705206871,1298795.875,0,pplu,1
7.707540035,1290452.125,0,pplu,1
7.709873199,1287615.5,0,pplu,1
7.712206364,1275616.375,0,pplu,1
7.714539528,1268457.75,0,pplu,1
7.716872692,1273640.375,0,pplu,1
7.719205856,1275168.375,0,pplu,1
7.721539021,1271282.875,0,pplu,1
7.723872185,1267044.625,0,pplu,1
7.726205349,1277187.25,0,pplu,1
7.728538513,1281386.625,0,pplu,1
7.730871677,1294889.5,0,pplu,1
7.733204842,1316394.875,0,pplu,1
7.735538006,1318683.375,0,pplu,1
7.73787117,1324399.25,0,pplu,1
7.740204334,1333598.875,0,pplu,1
7.742537498,1325987.5,0,pplu,1
7.744870663,1321157.625,0,pplu,1
7.747203827,1323968.375,0,pplu,1
7.749536991,1331524.75,0,pplu,1
7.751870155,1343126,0,pplu,1
7.75420332,1352264.125,0,pplu,1
7.756536484,1362639.375,0,pplu,1
7.758869648,1377157.5,0,pplu,1
7.761202812,1389008.25,0,pplu,1
7.763535976,1368922.625,0,pplu,1
7.765869141,1347675.125,0,pplu,1
7.768202305,1331042.875,0,pplu,1
7.770535469,1335774.375,0,pplu,1
7.772868633,1334568.5,0,pplu,1
7.775201797,1331661.625,0,pplu,1
7.777534962,1315475.75,0,pplu,1
7.779868126,1285420.375,0,pplu,1
7.78220129,1279152.5,0,pplu,1
7.784534454,1277826.125,0,pplu,1
7.786867619,1290001,0,pplu,1
7.789200783,1287704.875,0,pplu,1
7.791533947,1285880.625,0,pplu,1
7.793867111,1268379,0,pplu,1
7.796200275,1268608.125,0,pplu,1
7.79853344,1260042.25,0,pplu,1
7.800866604,1263768.75,0,pplu,1
7.803199768,1263467,0,pplu,1
7.805532932,1269564.25,0,pplu,1
7.807866096,1275169.625,0,pplu,1
7.810199261,1293251,0,pplu,1
7.812532425,1296378.125,0,pplu,1
7.814865589,1303492.125,0,pplu,1
7.817198753,1304997.875,0,pplu,1
7.819531918,1298305.875,0,pplu,1
7.821865082,1302139.625,0,pplu,1
7.824198246,1313392.625,0,pplu,1
7.82653141,1322945.875,0,pplu,1
7.828864574,1307979.625,0,pplu,1
7.831197739,1296540.5,0,pplu,1
7.833530903,1284398,0,pplu,1
7.835864067,1273277,0,pplu,1
7.838197231,1251823.875,0,pplu,1
7.840530396,1247099,0,pplu,1
7.84286356,1229449,0,pplu,1
7.845196724,1219972.625,0,pplu,1
7.847529888,1210140,0,pplu,1
7.849863052,1205444.125,0,pplu,1
7.852196217,1186043.375,0,pplu,1
7.854529381,1175542.75,0,pplu,1
7.856862545,1164995,0,pplu,1
