,time,gene,well,fluorescence,fluorescence_normed
351,17550,cgre,D1,11886.0,0.9307023725628377
352,17600,cgre,D1,11439.0,0.8957011980267794
353,17650,cgre,D1,11436.0,0.8954662908151281
354,17700,cgre,D1,11632.0,0.9108135619763527
355,17750,cgre,D1,11607.0,0.9088560018792577
356,17800,cgre,D1,11753.0,0.9202881528462924
357,17850,cgre,D1,11625.0,0.9102654451491661
358,17900,cgre,D1,11403.0,0.8928823114869626
359,17950,cgre,D1,11764.0,0.9211494792890141
360,18000,cgre,D1,11880.0,0.9302325581395349
361,18050,cgre,D1,11556.0,0.904862579281184
362,18100,cgre,D1,11569.0,0.9058805105316733
363,18150,cgre,D1,11790.0,0.923185341789993
364,18200,cgre,D1,11948.0,0.9355571216036332
365,18250,cgre,D1,11490.0,0.8996946206248532
366,18300,cgre,D1,11836.0,0.9267872523686477
367,18350,cgre,D1,11564.0,0.9054889985122543
368,18400,cgre,D1,11523.0,0.9022785999530185
369,18450,cgre,D1,11695.0,0.915746613421032
370,18500,cgre,D1,11687.0,0.9151201941899616
371,18550,cgre,D1,11833.0,0.9265523451569964
372,18600,cgre,D1,11714.0,0.9172343590948242
373,18650,cgre,D1,11788.0,0.9230287369822253
374,18700,cgre,D1,11899.0,0.931720303813327
375,18750,cgre,D1,11977.0,0.9378278913162634
376,18800,cgre,D1,11699.0,0.9160598230365672
377,18850,cgre,D1,11973.0,0.9375146817007282
378,18900,cgre,D1,11722.0,0.9178607783258946
379,18950,cgre,D1,11956.0,0.9361835408347037
380,19000,cgre,D1,11696.0,0.9158249158249159
381,19050,cgre,D1,11581.0,0.9068201393782789
382,19100,cgre,D1,11831.0,0.9263957403492287
383,19150,cgre,D1,11712.0,0.9170777542870566
384,19200,cgre,D1,11789.0,0.9231070393861092
385,19250,cgre,D1,11753.0,0.9202881528462924
386,19300,cgre,D1,11779.0,0.9223240153472712
387,19350,cgre,D1,11979.0,0.937984496124031
388,19400,cgre,D1,11819.0,0.9254561115026231
